Date,Close,High,Low,Open,Volume,price_range
2025-01-02,189.2120819091797,191.7791328258186,187.2843094002135,190.43067970164262,20370800,High
2025-01-03,191.56936645507812,192.9877463613902,189.76145103861666,191.14985143368122,18596200,High
2025-01-06,196.64352416992188,197.99197728329852,193.6270092243641,193.75684931380115,29563600,High
2025-01-07,195.26512145996094,200.7687774852745,194.37614589069548,196.8832529983184,26487200,High
2025-01-08,193.7268829345703,196.06418741382137,192.1586969389352,192.3484808074723,24864800,High
2025-01-10,191.81907653808594,196.29393386115163,190.09107094303815,194.07648645979594,26665200,High
2025-01-13,190.79026794433594,190.96007055747594,187.14447278422705,189.8513620671916,21823700,High
2025-01-14,189.4418182373047,191.75914137705388,188.0933651847724,191.02000242961614,17174900,High
2025-01-15,195.32504272460938,196.1341084636535,191.6392852545324,192.8678659974796,21776000,High
2025-01-16,192.68807983398438,195.2551153784116,192.58818877757312,193.91666057341888,17815400,High
2025-01-17,195.77452087402344,197.00310160992169,193.52710928235737,196.3039099407615,27735100,High
2025-01-21,197.82217407226562,202.05728678766425,197.6423732117847,198.84100497169504,29971300,High
2025-01-22,198.1417999267578,200.24937329507208,197.30276987978317,198.83100862292844,26200600,High
2025-01-23,197.7522430419922,200.06958147081755,194.97544232412307,197.91206263871854,26951400,High
2025-01-24,199.9796905517578,200.66888399183227,197.77222616967978,197.87211722888603,23877500,High
2025-01-27,191.58934020996094,196.65351502081776,190.5105808080997,192.18865606918456,41728900,High
2025-01-28,195.07533264160156,195.2551182563093,190.4606370613745,192.52826307792662,24157900,High
2025-01-29,195.18521118164062,196.5636133163606,193.20747792712066,195.33503253066368,18218300,High
2025-01-30,200.638916015625,201.16830508891937,197.44260031613962,197.7722225159478,24354700,Very High
2025-01-31,203.78530883789062,205.24362078448016,201.56786140671954,201.76762828746982,32042000,Very High
2025-02-03,200.99850463867188,203.5156099470352,199.8698149328218,200.45913255035472,27838300,Very High
2025-02-04,206.14259338378906,206.81182081300247,202.57669285659674,203.15602747619252,43856400,Very High
2025-02-05,191.1099090576172,192.52827375908595,187.81370210065404,190.85021363044225,70373900,High
2025-02-06,191.3795928955078,191.87901770448227,188.50290111861952,189.28200260132084,29297400,High
2025-02-07,185.1267852783203,190.9600634127379,183.02921021692137,190.83022332592188,49315000,High
2025-02-10,186.2554931640625,187.98349876976383,185.64619427540677,187.1344857224474,23105600,High
2025-02-11,185.10682678222656,186.72495835838524,184.06801459806726,184.81715184499055,21239500,High
2025-02-12,183.39878845214844,184.8970629566076,181.62083725948915,183.0092376906385,22072600,High
2025-02-13,185.92587280273438,186.06571114375504,182.9293238598035,184.10797436946572,21402500,High
2025-02-14,185.01690673828125,186.1855589387927,184.1079651875959,184.8471041355986,20448400,High
2025-02-18,183.55859375,185.74607679460826,181.5309302979739,185.386490331916,29916700,High
2025-02-19,185.05686950683594,185.246653369277,183.3787942547783,183.8582530360721,19549400,High
2025-02-20,184.34768676757812,185.09682399614678,182.5098070913863,184.58741616756504,20441500,High
2025-02-21,179.4533233642578,185.12678179449694,178.87398876546825,184.93699793129608,35199200,High
2025-02-24,179.04379272460938,182.90933584096624,178.68420625509464,181.78064614487357,29854200,High
2025-02-25,175.21820068359375,178.53438877889693,174.48904471950055,177.8351818432405,41913400,High
2025-02-26,172.5312957763672,175.87744820035027,171.38262477536554,174.8686155406987,35431300,High
2025-02-27,168.30616760253906,174.3591940996765,167.746814231894,173.78985771928288,39991000,High
2025-02-28,170.0841064453125,170.41372863795183,166.5781498819881,168.48594100971005,48130600,High
2025-03-03,166.81787109375,173.17055534541237,165.73911166521458,171.7322094406985,40770500,High
2025-03-04,170.72337341308594,173.09064211021553,165.60926829005186,166.04876455679425,45388000,High
2025-03-05,172.8209686279297,173.58008886593674,168.86551735545183,170.32384453302183,30954900,High
2025-03-06,172.1517333984375,174.60889486138916,170.30385555544734,170.33381982392953,28302000,High
2025-03-07,173.66000366210938,174.76872740179581,170.07413701655315,171.06298843219486,27385800,High
2025-03-10,165.8699951171875,168.4600067138672,163.69000244140625,168.25999450683594,43604000,High
2025-03-11,164.0399932861328,166.75,161.3699951171875,164.91000366210938,39587400,High
2025-03-12,167.11000061035156,167.63999938964844,163.52999877929688,166.5800018310547,28372400,High
2025-03-13,162.75999450683594,166.1300048828125,162.11000061035156,166.0399932861328,31756200,High
2025-03-14,165.49000549316406,166.49000549316406,162.4499969482422,163.27000427246094,31995900,High
2025-03-17,164.2899932861328,166.3000030517578,163.6699981689453,165.02999877929688,31184300,High
2025-03-18,160.6699981689453,164.25,156.72000122070312,163.67999267578125,42074800,High
2025-03-19,163.88999938964844,165.8699951171875,161.0,161.75999450683594,34275600,High
2025-03-20,162.8000030517578,164.88999938964844,160.9600067138672,161.57000732421875,28138500,High
2025-03-21,163.99000549316406,164.24000549316406,160.88999938964844,161.2100067138672,36625800,High
2025-03-24,167.67999267578125,168.32000732421875,165.13999938964844,167.07000732421875,30879100,High
2025-03-25,170.55999755859375,170.6300048828125,168.32000732421875,168.97999572753906,24174400,High
2025-03-26,165.05999755859375,169.61000061035156,164.83999633789062,169.0,28901600,High
2025-03-27,162.24000549316406,165.4199981689453,162.0,164.6300048828125,24508300,High
2025-03-28,154.3300018310547,161.82000732421875,153.6300048828125,160.49000549316406,48669300,High
2025-03-31,154.63999938964844,155.5399932861328,150.66000366210938,153.11000061035156,54603500,High
2025-04-01,157.07000732421875,158.10000610351562,153.6199951171875,153.6199951171875,30672900,High
2025-04-02,157.0399932861328,158.41000366210938,154.6999969482422,155.14999389648438,25041700,High
2025-04-03,150.72000122070312,152.77999877929688,150.38999938964844,151.11000061035156,46883400,High
2025-04-04,145.60000610351562,151.07000732421875,145.3800048828125,148.00999450683594,62259500,Medium
2025-04-07,146.75,152.85000610351562,140.52999877929688,141.5500030517578,76794100,Medium
2025-04-08,144.6999969482422,152.24000549316406,143.02999877929688,151.22000122070312,52200200,Medium
2025-04-09,158.7100067138672,159.5500030517578,143.91000366210938,144.4199981689453,70406200,High
2025-04-10,152.82000732421875,157.72000122070312,149.92999267578125,156.5399932861328,48022000,High
2025-04-11,157.13999938964844,157.6699981689453,152.82000732421875,152.89999389648438,33636200,High
2025-04-14,159.07000732421875,161.72000122070312,157.55999755859375,160.0,30333000,High
2025-04-15,156.30999755859375,159.64999389648438,155.2100067138672,159.1300048828125,27551500,High
2025-04-16,153.3300018310547,155.88999938964844,151.50999450683594,153.10000610351562,28187400,High
2025-04-17,151.16000366210938,154.67999267578125,148.5,154.2899932861328,32938500,High
2025-04-21,147.6699981689453,148.9499969482422,146.10000610351562,148.8800048828125,26049100,Medium
2025-04-22,151.47000122070312,152.19000244140625,148.5399932861328,148.88999938964844,26971800,High
2025-04-23,155.35000610351562,157.52999877929688,153.80999755859375,155.61000061035156,31128800,High
2025-04-24,159.27999877929688,159.58999633789062,155.7899932861328,156.14999389648438,45894000,High
2025-04-25,161.9600067138672,166.10000610351562,161.0399932861328,165.07000732421875,56034000,High
2025-04-28,160.61000061035156,163.14999389648438,158.60000610351562,162.42999267578125,29745800,High
2025-04-29,160.16000366210938,160.74000549316406,157.52000427246094,160.32000732421875,26809000,High
2025-04-30,158.8000030517578,159.27000427246094,155.39999389648438,157.97999572753906,34981100,High
2025-05-01,161.3000030517578,161.9499969482422,158.91000366210938,160.4499969482422,30203200,High
2025-05-02,164.02999877929688,164.97000122070312,161.8699951171875,163.41000366210938,25715000,High
2025-05-05,164.2100067138672,165.38999938964844,162.72000122070312,163.0,21341800,High
2025-05-06,163.22999572753906,164.8000030517578,161.19000244140625,162.1699981689453,21277200,High
2025-05-07,151.3800048828125,165.0,147.83999633789062,164.0800018310547,127490100,High
2025-05-08,154.27999877929688,155.92999267578125,152.89999389648438,155.0,57498700,High
2025-05-09,152.75,155.0500030517578,152.1999969482422,154.1699981689453,32435300,High
2025-05-12,158.4600067138672,159.10000610351562,156.25,157.49000549316406,44138800,High
2025-05-13,159.52999877929688,160.57000732421875,156.16000366210938,158.7899932861328,42382100,High
2025-05-14,165.3699951171875,167.0,159.61000061035156,159.9600067138672,48755900,High
2025-05-15,163.9600067138672,166.2100067138672,162.3699951171875,165.83999633789062,33146700,High
2025-05-16,166.19000244140625,169.35000610351562,165.6199951171875,167.72999572753906,42846900,High
2025-05-19,166.5399932861328,166.63999938964844,164.22000122070312,164.50999450683594,30426100,High
2025-05-20,163.97999572753906,168.5,162.89999389648438,166.42999267578125,46607700,High
2025-05-21,168.55999755859375,173.13999938964844,163.55999755859375,163.69000244140625,73416000,High
2025-05-22,170.8699951171875,176.77000427246094,170.7100067138672,171.85000610351562,74864400,High
2025-05-23,168.47000122070312,169.9600067138672,167.88999938964844,169.05999755859375,35211400,High
2025-05-27,172.89999389648438,173.1699981689453,170.0,170.16000366210938,37995700,High
2025-05-28,172.36000061035156,175.27000427246094,171.91000366210938,173.16000366210938,34784000,High
2025-05-29,171.86000061035156,174.4199981689453,170.6300048828125,174.0,29373800,High
2025-05-30,171.74000549316406,172.2100067138672,167.44000244140625,171.35000610351562,52639900,High
2025-06-02,169.02999877929688,169.8699951171875,167.38999938964844,167.83999633789062,38532600,High
